"date","cafe_type","party_size","gender","in_time","out_time","end_of_study"
2017-11-07,"in_univ",1,"male",17:08:00,18:01:00,18:12:00
2017-11-07,"in_univ",3,"female",17:12:00,18:07:00,18:12:00
2017-11-07,"in_univ",1,"male",17:15:00,18:03:00,18:12:00
2017-11-07,"in_univ",1,"female",17:18:00,NA,18:12:00
2017-11-07,"in_univ",2,"mixed",17:21:00,18:12:00,18:12:00
2017-11-07,"in_univ",1,"male",17:23:00,NA,18:12:00
2017-11-07,"in_univ",1,"male",17:24:00,17:45:00,18:12:00
2017-11-07,"in_univ",2,"female",17:26:00,NA,18:12:00
2017-11-07,"in_univ",1,"male",17:27:00,NA,18:12:00
2017-11-07,"in_univ",1,"mixed",17:40:00,NA,18:12:00
2017-11-07,"in_univ",1,"female",17:43:00,NA,18:12:00
2017-11-07,"in_univ",1,"female",17:43:00,NA,18:12:00
2017-11-07,"in_univ",2,"female",17:49:00,NA,18:12:00
2017-11-07,"in_univ",1,"male",17:50:00,NA,18:12:00
2017-11-07,"in_univ",2,"mixed",17:52:00,18:00:00,18:12:00
2017-11-07,"in_univ",1,"male",17:55:00,NA,18:12:00
2017-11-07,"in_univ",1,"female",17:55:00,NA,18:12:00
2017-11-07,"in_univ",1,"male",17:58:00,NA,18:12:00
2017-11-07,"in_univ",1,"male",18:00:00,NA,18:12:00
2017-11-07,"in_univ",2,"male",18:01:00,NA,18:12:00
2017-11-17,"in_univ",4,"male",13:55:00,14:21:00,17:35:00
2017-11-17,"in_univ",2,"male",14:21:00,15:08:00,17:35:00
2017-11-17,"in_univ",1,"female",14:26:00,15:00:00,17:35:00
2017-11-17,"in_univ",2,"mixed",14:27:00,14:49:00,17:35:00
2017-11-17,"in_univ",2,"mixed",14:29:00,16:49:00,17:35:00
2017-11-17,"in_univ",3,"female",14:33:00,15:22:00,17:35:00
2017-11-17,"in_univ",2,"female",14:35:00,15:32:00,17:35:00
2017-11-17,"in_univ",6,"mixed",14:37:00,14:59:00,17:35:00
2017-11-17,"in_univ",2,"female",14:38:00,17:31:00,17:35:00
2017-11-17,"in_univ",1,"female",14:40:00,15:44:00,17:35:00
2017-11-17,"in_univ",2,"mixed",14:44:00,14:54:00,17:35:00
2017-11-17,"in_univ",2,"female",14:45:00,15:57:00,17:35:00
2017-11-17,"in_univ",1,"male",14:47:00,14:55:00,17:35:00
2017-11-17,"in_univ",2,"mixed",14:48:00,15:10:00,17:35:00
2017-11-17,"in_univ",2,"male",14:51:00,15:02:00,17:35:00
2017-11-17,"in_univ",1,"female",14:53:00,17:28:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:06:00,15:33:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:06:00,15:24:00,17:35:00
2017-11-17,"in_univ",5,"mixed",15:06:00,15:47:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:11:00,15:43:00,17:35:00
2017-11-17,"in_univ",2,"male",15:11:00,16:03:00,17:35:00
2017-11-17,"in_univ",2,"male",15:14:00,16:07:00,17:35:00
2017-11-17,"in_univ",3,"mixed",15:16:00,15:52:00,17:35:00
2017-11-17,"in_univ",2,"female",15:20:00,16:20:00,17:35:00
2017-11-17,"in_univ",1,"female",15:22:00,16:55:00,17:35:00
2017-11-17,"in_univ",1,"male",15:20:00,16:00:00,17:35:00
2017-11-17,"in_univ",1,"male",15:20:00,16:26:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:43:00,16:19:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:45:00,16:03:00,17:35:00
2017-11-17,"in_univ",2,"mixed",15:45:00,16:26:00,17:35:00
2017-11-17,"in_univ",1,"female",15:47:00,16:45:00,17:35:00
